M,MNi,max_LC,skew,CV_LC,mad,
0.7,0.624,2.1513e+43,6.4393,1.9942,2.6935e+42
0.7,0.644,2.2305e+43,6.4905,2.0017,2.7744e+42
0.7,0.663,2.3057e+43,6.5384,2.0087,2.8509e+42
0.7,0.683,2.3848e+43,6.5879,2.0159,2.931e+42
0.7,0.703,2.4639e+43,6.6367,2.0229,3.0106e+42
0.7,0.723,2.5429e+43,6.6848,2.0298,3.0899e+42
0.7,0.743,2.6218e+43,6.7321,2.0366,3.1687e+42
0.7,0.762,2.6967e+43,6.7765,2.0429,3.2431e+42
0.7,0.782,2.7753e+43,6.8225,2.0494,3.3211e+42
0.7,0.802,2.8539e+43,6.868,2.0558,3.3987e+42
0.7,0.822,2.9322e+43,6.9128,2.062,3.4759e+42
0.7,0.842,3.0129e+43,6.957,2.0682,3.5527e+42
0.7,0.861,3.09e+43,6.9986,2.0739,3.6254e+42
0.7,0.881,3.1711e+43,7.0417,2.0799,3.7014e+42
0.7,0.901,3.2522e+43,7.0844,2.0857,3.7771e+42
0.7,0.921,3.3331e+43,7.1265,2.0915,3.8524e+42
0.7,0.941,3.414e+43,7.1682,2.0971,3.9273e+42
0.7,0.96,3.4906e+43,7.2073,2.1024,3.9982e+42
0.7,0.98,3.5713e+43,7.2481,2.1079,4.0724e+42
0.7,1.0,3.6517e+43,7.2884,2.1133,4.1463e+42
0.9,0.01,1.1402e+41,2.3174,1.2035,2.322e+40
0.9,0.03,4.7029e+41,2.9302,1.3735,9.4338e+40
0.9,0.05,8.9683e+41,3.2619,1.4483,1.7137e+41
0.9,0.069,1.3421e+42,3.4861,1.4947,2.486e+41
0.9,0.089,1.8404e+42,3.6718,1.5314,3.3222e+41
0.9,0.109,2.3631e+42,3.8257,1.5609,4.1548e+41
0.9,0.129,2.9049e+42,3.9579,1.5858,5.0185e+41
0.9,0.149,3.463e+42,4.0744,1.6074,5.8916e+41
0.9,0.168,4.0084e+42,4.1741,1.6257,6.7274e+41
0.9,0.188,4.5922e+42,4.2699,1.6431,7.6121e+41
0.9,0.208,5.1895e+42,4.3581,1.6591,8.5001e+41
0.9,0.228,5.7965e+42,4.4402,1.6738,9.3904e+41
0.9,0.248,6.4082e+42,4.5171,1.6876,1.0282e+42
0.9,0.267,7.0045e+42,4.5861,1.6998,1.1129e+42
0.9,0.287,7.6367e+42,4.655,1.712,1.2021e+42
0.9,0.307,8.2723e+42,4.7206,1.7236,1.2912e+42
0.9,0.327,8.9155e+42,4.7833,1.7346,1.3802e+42
0.9,0.347,9.5707e+42,4.8435,1.7451,1.4691e+42
0.9,0.366,1.0196e+43,4.8985,1.7547,1.5533e+42
0.9,0.386,1.0856e+43,4.9544,1.7643,1.6419e+42
0.9,0.406,1.1517e+43,5.0084,1.7736,1.7301e+42
0.9,0.426,1.219e+43,5.0608,1.7826,1.8182e+42
0.9,0.446,1.2871e+43,5.1116,1.7913,1.906e+42
0.9,0.465,1.3519e+43,5.1585,1.7992,1.9892e+42
0.9,0.485,1.4203e+43,5.2066,1.8074,2.0765e+42
0.9,0.505,1.4888e+43,5.2536,1.8153,2.1636e+42
0.9,0.525,1.5574e+43,5.2994,1.8229,2.2468e+42
0.9,0.545,1.6265e+43,5.3441,1.8304,2.3323e+42
0.9,0.564,1.6935e+43,5.3857,1.8373,2.4141e+42
