B,p10,Mint,Mniint,max_LC,skew,CV_LC,mad,aslope,bslope,median,time
0.5,0.2,10,0.5,1.4979e+44,1.6409,0.58525,-1.1597e+43,0.0,1.5833e+42,1.0093e+44,95.04
0.5,0.2,10,0.6,1.5169e+44,1.6547,0.5799,-1.2331e+43,0.0,1.6203e+42,1.0365e+44,94.05
0.5,0.2,10,0.8,1.5523e+44,1.685,0.56941,-1.3748e+43,0.0,1.6938e+42,1.0881e+44,92.07
1,0.2,0.4,0.1,1.2057e+45,3.3771,0.90919,1.4743e+44,-4.5363e+43,1.0732e+44,2.1621e+44,11.385
1,0.2,0.4,0.3,1.2371e+45,3.4539,0.91883,1.4837e+44,-4.6885e+43,1.1512e+44,2.1886e+44,10.89
1,0.2,0.4,0.4,1.2504e+45,3.4875,0.92301,1.5019e+44,-4.8487e+43,1.1622e+44,2.1864e+44,10.89
1,0.2,0.4,0.5,1.2634e+45,3.5184,0.92685,1.5189e+44,-4.7775e+43,1.2317e+44,2.1844e+44,10.395
1,0.2,0.4,0.6,1.2757e+45,3.5471,0.93041,1.5348e+44,-4.9256e+43,1.2424e+44,2.1825e+44,10.395
1,0.2,0.4,0.8,1.2969e+45,3.5988,0.9368,1.5639e+44,-5.1814e+43,1.2601e+44,2.1791e+44,10.395
1,0.2,0.5,0.1,1.0883e+45,3.0601,0.8702,1.3479e+44,-3.6752e+43,8.5803e+43,2.1581e+44,12.87
1,0.2,0.5,0.3,1.1183e+45,3.1334,0.88042,1.3608e+44,-3.8332e+43,9.1696e+43,2.1836e+44,12.375
1,0.2,0.5,0.4,1.1315e+45,3.1658,0.8849,1.3806e+44,-3.9941e+43,9.27e+43,2.181e+44,12.375
1,0.2,0.5,0.5,1.1441e+45,3.1959,0.88903,1.3992e+44,-3.937e+43,9.7722e+43,2.1787e+44,11.88
1,0.2,0.5,0.6,1.1562e+45,3.2238,0.89287,1.4166e+44,-4.0845e+43,9.8673e+43,2.1765e+44,11.88
1,0.2,0.5,0.8,1.1774e+45,3.2746,0.89982,1.4485e+44,-4.1284e+43,1.0487e+44,2.1726e+44,11.385
1,0.2,1,0.1,7.5152e+44,2.179,0.73156,8.9498e+43,-1.6096e+43,3.9456e+43,2.1446e+44,19.305
1,0.2,1,0.3,7.7616e+44,2.2332,0.74315,9.2244e+43,-1.7549e+43,4.182e+43,2.1616e+44,18.81
1,0.2,1,0.4,7.875e+44,2.2575,0.74829,9.493e+43,-1.7535e+43,4.3593e+43,2.1552e+44,18.315
1,0.2,1,0.5,7.9808e+44,2.2804,0.75309,9.7441e+43,-1.8696e+43,4.4161e+43,2.1494e+44,18.315
1,0.2,1,0.6,8.0835e+44,2.302,0.75759,9.6595e+43,-1.8523e+43,4.5989e+43,2.1762e+44,17.82
1,0.2,1,0.8,8.2728e+44,2.342,0.76582,1.0096e+44,-1.927e+43,4.8411e+43,2.1668e+44,17.325
1,0.2,2,0.1,4.7966e+44,1.6875,0.56916,2.989e+43,-5.164e+42,1.6884e+43,2.1966e+44,28.71
1,0.2,2,0.3,4.9777e+44,1.6966,0.58137,3.2157e+43,-5.5495e+42,1.8151e+43,2.2217e+44,27.72
1,0.2,2,0.4,5.0612e+44,1.7019,0.58678,3.5733e+43,-6.1805e+42,1.8452e+43,2.208e+44,27.72
1,0.2,2,0.5,5.1408e+44,1.7074,0.59185,3.5958e+43,-6.2797e+42,1.9085e+43,2.2268e+44,27.225
1,0.2,2,0.6,5.2165e+44,1.7132,0.5966,3.9544e+43,-6.336e+42,1.9728e+43,2.2109e+44,26.73
1,0.2,2,0.8,5.359e+44,1.7253,0.60534,4.2579e+43,-6.9005e+42,2.0648e+43,2.2181e+44,26.235
1,0.2,3,0.1,3.5593e+44,1.8792,0.47206,9.2701e+40,-2.5469e+42,9.8005e+42,2.1439e+44,36.63
1,0.2,3,0.3,3.7034e+44,1.8193,0.48275,3.592e+42,-2.8731e+42,1.0482e+43,2.1589e+44,35.64
1,0.2,3,0.4,3.7698e+44,1.7959,0.48757,4.4502e+42,-2.7476e+42,1.0977e+43,2.1733e+44,34.65
1,0.2,3,0.5,3.833e+44,1.7758,0.49211,5.0043e+42,-2.846e+42,1.1324e+43,2.1896e+44,34.155
1,0.2,3,0.6,3.8936e+44,1.7585,0.49642,5.3478e+42,-3.197e+42,1.1502e+43,2.2069e+44,34.155
1,0.2,3,0.8,4.0078e+44,1.7303,0.5044,8.6435e+42,-3.311e+42,1.2194e+43,2.2128e+44,33.165
1,0.2,5,0.1,2.3584e+44,3.0001,0.39926,-1.5506e+43,-8.6084e+41,4.8445e+42,1.7996e+44,49.005
1,0.2,5,0.3,2.4617e+44,2.9132,0.40044,-1.492e+43,-9.6125e+41,5.2155e+42,1.8499e+44,47.52
1,0.2,5,0.4,2.5095e+44,2.8692,0.40115,-1.4081e+43,-1.0429e+42,5.3728e+42,1.8671e+44,47.025
1,0.2,5,0.5,2.5549e+44,2.8253,0.40195,-1.3525e+43,-1.1166e+42,5.5285e+42,1.8858e+44,46.53
1,0.2,5,0.6,2.5985e+44,2.7817,0.40283,-1.3548e+43,-1.0787e+42,5.7458e+42,1.9089e+44,45.54
1,0.2,5,0.8,2.6807e+44,2.6965,0.40482,-1.3051e+43,-1.1821e+42,6.0596e+42,1.9466e+44,44.55
1,0.2,7,0.1,1.7619e+44,3.0281,0.41072,-2.0298e+43,-4.3477e+41,2.9577e+42,1.4824e+44,59.895
1,0.2,7,0.3,1.8428e+44,3.1095,0.40515,-1.9589e+43,-4.7113e+41,3.1997e+42,1.5325e+44,57.915
1,0.2,7,0.4,1.8802e+44,3.145,0.40259,-1.9239e+43,-5.2662e+41,3.2929e+42,1.5553e+44,57.42
1,0.2,7,0.5,1.916e+44,3.1766,0.4002,-1.9162e+43,-5.2842e+41,3.4147e+42,1.5795e+44,56.43
1,0.2,7,0.6,1.9502e+44,3.2044,0.39797,-1.8773e+43,-5.7488e+41,3.5065e+42,1.5994e+44,55.935
1,0.2,7,0.8,2.0148e+44,3.2486,0.39401,-1.8405e+43,-6.0163e+41,3.7218e+42,1.6401e+44,54.45
1,0.2,10,0.1,1.2721e+44,2.4469,0.45038,-2.1853e+43,-1.9276e+41,1.7324e+42,1.1279e+44,73.755
1,0.2,10,0.3,1.3332e+44,2.5419,0.44274,-2.292e+43,-2.276e+41,1.8659e+42,1.1893e+44,71.775
1,0.2,10,0.4,1.3616e+44,2.5909,0.43897,-2.2699e+43,-2.4039e+41,1.9324e+42,1.2108e+44,70.785
1,0.2,10,0.5,1.3888e+44,2.6403,0.43529,-2.2415e+43,-2.4989e+41,1.9989e+42,1.2306e+44,69.795
1,0.2,10,0.6,1.4148e+44,2.6897,0.43171,-2.2308e+43,-2.5608e+41,2.0658e+42,1.2513e+44,68.805
1,0.2,10,0.8,1.4639e+44,2.7879,0.42487,-2.1741e+43,-2.8463e+41,2.1848e+42,1.2866e+44,67.32
2,0.2,0.4,0.1,1.6149e+45,5.2897,1.4511,2.0727e+44,-9.4549e+43,1.8833e+44,9.1226e+43,8.415
2,0.2,0.4,0.3,1.681e+45,5.4682,1.4722,2.1224e+44,-9.8587e+43,2.0846e+44,9.0995e+43,7.92
2,0.2,0.4,0.4,1.7121e+45,5.5503,1.4817,2.1446e+44,-1.0231e+44,2.1201e+44,9.0896e+43,7.92
2,0.2,0.4,0.5,1.7409e+45,5.628,1.4905,2.1655e+44,-1.0576e+44,2.1526e+44,9.0806e+43,7.92
2,0.2,0.4,0.6,1.7677e+45,5.7016,1.4989,2.1851e+44,-1.0897e+44,2.1823e+44,9.0724e+43,7.92
2,0.2,0.4,0.8,1.8193e+45,5.8382,1.5141,2.2212e+44,-1.1111e+44,2.3997e+44,9.0578e+43,7.425
2,0.2,0.5,0.1,1.3639e+45,4.5547,1.3618,1.897e+44,-7.0241e+43,1.4316e+44,9.0941e+43,9.405
2,0.2,0.5,0.3,1.422e+45,4.7163,1.3833,1.9308e+44,-7.7266e+43,1.4888e+44,9.237e+43,9.405
2,0.2,0.5,0.4,1.4498e+45,4.7908,1.393,1.9539e+44,-7.7082e+43,1.6054e+44,9.2242e+43,8.91
2,0.2,0.5,0.5,1.4763e+45,4.8616,1.4021,1.9755e+44,-8.0285e+43,1.6328e+44,9.2126e+43,8.91
2,0.2,0.5,0.6,1.5009e+45,4.9288,1.4107,1.9959e+44,-8.3289e+43,1.6581e+44,9.2021e+43,8.91
2,0.2,0.5,0.8,1.5466e+45,5.0539,1.4264,2.0334e+44,-8.5114e+43,1.8112e+44,9.1837e+43,8.415
2,0.2,1,0.1,7.6914e+44,2.7558,1.0749,1.2681e+44,-2.4095e+43,5.3233e+43,9.8348e+43,14.355
2,0.2,1,0.3,8.0736e+44,2.8645,1.0973,1.3267e+44,-2.6266e+43,5.7876e+43,9.7221e+43,13.86
2,0.2,1,0.4,8.2518e+44,2.9151,1.1075,1.3532e+44,-2.6278e+43,6.1392e+43,9.676e+43,13.365
2,0.2,1,0.5,8.4252e+44,2.9633,1.1171,1.3781e+44,-2.8069e+43,6.2645e+43,9.6354e+43,13.365
2,0.2,1,0.6,8.589e+44,3.0095,1.1261,1.4015e+44,-2.9793e+43,6.3825e+43,9.5992e+43,13.365
2,0.2,1,0.8,8.9046e+44,3.0963,1.1429,1.4448e+44,-3.1144e+43,6.8741e+43,9.5375e+43,12.87
2,0.2,2,0.1,4.0615e+44,1.7194,0.77604,4.7561e+43,-5.9476e+42,1.9003e+43,1.2472e+44,21.285
2,0.2,2,0.3,4.284e+44,1.7697,0.7992,5.3054e+43,-6.8736e+42,2.0518e+43,1.2355e+44,20.79
2,0.2,2,0.4,4.39e+44,1.7942,0.8097,5.6951e+43,-7.0261e+42,2.1545e+43,1.2167e+44,20.295
2,0.2,2,0.5,4.4917e+44,1.818,0.8196,6.0624e+43,-7.1269e+42,2.2602e+43,1.1993e+44,19.8
2,0.2,2,0.6,4.5908e+44,1.8413,0.82897,6.2618e+43,-7.8144e+42,2.3093e+43,1.1978e+44,19.8
2,0.2,2,0.8,4.7798e+44,1.8862,0.84632,6.7578e+43,-8.5128e+42,2.4662e+43,1.1832e+44,19.305
2,0.2,3,0.1,2.7199e+44,1.5275,0.59531,9.6794e+42,-2.5091e+42,9.9495e+42,1.3367e+44,27.225
2,0.2,3,0.3,2.8758e+44,1.5324,0.61859,1.2131e+43,-2.7892e+42,1.0919e+43,1.3527e+44,26.235
2,0.2,3,0.4,2.95e+44,1.537,0.62919,1.5274e+43,-2.9081e+42,1.1418e+43,1.3402e+44,25.74
2,0.2,3,0.5,3.0218e+44,1.5425,0.6392,1.5669e+43,-3.0091e+42,1.1927e+43,1.3543e+44,25.245
