M,MNi,max_LC,skew,CV_LC,mad,
0.823,0.12,3.442e+42,5.0326,1.775,5.1553e+41
0.823,0.14,4.0157e+42,5.0326,1.775,6.0145e+41
0.823,0.16,4.5893e+42,5.0326,1.775,6.8737e+41
0.823,0.18,5.163e+42,5.0326,1.775,7.7329e+41
0.823,0.2,5.7367e+42,5.0326,1.775,8.5921e+41
0.823,0.22,6.3103e+42,5.0326,1.775,9.4513e+41
0.823,0.24,6.884e+42,5.0326,1.775,1.0311e+42
0.823,0.26,7.4576e+42,5.0326,1.775,1.117e+42
0.823,0.28,8.0313e+42,5.0326,1.775,1.2029e+42
0.823,0.3,8.605e+42,5.0326,1.775,1.2888e+42
0.823,0.32,9.1786e+42,5.0326,1.775,1.3747e+42
0.823,0.34,9.7523e+42,5.0326,1.775,1.4607e+42
0.823,0.36,1.0326e+43,5.0326,1.775,1.5466e+42
0.823,0.38,1.09e+43,5.0326,1.775,1.6325e+42
0.823,0.4,1.1473e+43,5.0326,1.775,1.7184e+42
0.823,0.42,1.2047e+43,5.0326,1.775,1.8043e+42
0.823,0.44,1.2621e+43,5.0326,1.775,1.8903e+42
0.823,0.46,1.3194e+43,5.0326,1.775,1.9762e+42
0.823,0.48,1.3768e+43,5.0326,1.775,2.0621e+42
0.823,0.5,1.4342e+43,5.0326,1.775,2.148e+42
0.823,0.52,1.4915e+43,5.0326,1.775,2.2339e+42
0.823,0.54,1.5489e+43,5.0326,1.775,2.3199e+42
0.823,0.56,1.6063e+43,5.0326,1.775,2.4058e+42
0.823,0.58,1.6636e+43,5.0326,1.775,2.4917e+42
0.823,0.6,1.721e+43,5.0326,1.775,2.5776e+42
0.823,0.62,1.7784e+43,5.0326,1.775,2.6635e+42
0.823,0.64,1.8357e+43,5.0326,1.775,2.7495e+42
0.823,0.66,1.8931e+43,5.0326,1.775,2.8354e+42
0.823,0.68,1.9505e+43,5.0326,1.775,2.9213e+42
0.823,0.7,2.0078e+43,5.0326,1.775,3.0072e+42
0.823,0.72,2.0652e+43,5.0326,1.775,3.0932e+42
0.823,0.74,2.1226e+43,5.0326,1.775,3.1791e+42
0.823,0.76,2.1799e+43,5.0326,1.775,3.265e+42
0.823,0.78,2.2373e+43,5.0326,1.775,3.3509e+42
0.823,0.8,2.2947e+43,5.0326,1.775,3.4368e+42
0.823,0.82,2.352e+43,5.0326,1.775,3.5228e+42
0.823,0.84,2.4094e+43,5.0326,1.775,3.6087e+42
0.823,0.86,2.4668e+43,5.0326,1.775,3.6946e+42
0.823,0.88,2.5241e+43,5.0326,1.775,3.7805e+42
0.847,0.12,3.4044e+42,4.9796,1.7668,5.1336e+41
0.847,0.14,3.9718e+42,4.9796,1.7668,5.9892e+41
0.847,0.16,4.5392e+42,4.9796,1.7668,6.8448e+41
0.847,0.18,5.1066e+42,4.9796,1.7668,7.7004e+41
0.847,0.2,5.674e+42,4.9796,1.7668,8.5561e+41
0.847,0.22,6.2413e+42,4.9796,1.7668,9.4117e+41
0.847,0.24,6.8087e+42,4.9796,1.7668,1.0267e+42
0.847,0.26,7.3761e+42,4.9796,1.7668,1.1123e+42
0.847,0.28,7.9435e+42,4.9796,1.7668,1.1978e+42
0.847,0.3,8.5109e+42,4.9796,1.7668,1.2834e+42
0.847,0.32,9.0783e+42,4.9796,1.7668,1.369e+42
0.847,0.34,9.6457e+42,4.9796,1.7668,1.4545e+42
0.847,0.36,1.0213e+43,4.9796,1.7668,1.5401e+42
0.847,0.38,1.0781e+43,4.9796,1.7668,1.6257e+42
0.847,0.4,1.1348e+43,4.9796,1.7668,1.7112e+42
0.847,0.42,1.1915e+43,4.9796,1.7668,1.7968e+42
