B,p10,MinitMniintmax_LC,skew,CV_LC,mad,
5.5,0.2,1.2,0.7,2.9499e+44,2.8065,1.2751,5.7179e+43
5.5,0.2,1.3,0.1,2.6336e+44,2.6228,1.2302,5.188e+43
5.5,0.2,1.3,0.2,2.6573e+44,2.6329,1.2323,5.2278e+43
5.5,0.2,1.3,0.3,2.6809e+44,2.6429,1.2344,5.2675e+43
5.5,0.2,1.3,0.4,2.7046e+44,2.6528,1.2365,5.3073e+43
5.5,0.2,1.3,0.5,2.7283e+44,2.6626,1.2386,5.3471e+43
5.5,0.2,1.3,0.6,2.7519e+44,2.6723,1.2406,5.3868e+43
5.5,0.2,1.3,0.7,2.7756e+44,2.6819,1.2426,5.4266e+43
10,0.2,0.8,0.1,1.8761e+44,3.7124,1.5468,3.3155e+43
10,0.2,0.8,0.2,1.902e+44,3.7194,1.5484,3.3589e+43
10,0.2,0.8,0.3,1.9288e+44,3.7267,1.55,3.4023e+43
10,0.2,0.8,0.4,1.9556e+44,3.7342,1.5516,3.4456e+43
10,0.2,0.8,0.5,1.9824e+44,3.742,1.5531,3.489e+43
10,0.2,0.8,0.6,2.0092e+44,3.75,1.5547,3.5324e+43
10,0.2,0.8,0.7,2.0359e+44,3.7582,1.5562,3.5758e+43
10,0.2,0.9,0.1,1.7028e+44,3.4563,1.4912,3.1366e+43
10,0.2,0.9,0.2,1.7277e+44,3.465,1.4931,3.1792e+43
10,0.2,0.9,0.3,1.7528e+44,3.4739,1.4951,3.2218e+43
10,0.2,0.9,0.4,1.7787e+44,3.4831,1.497,3.2645e+43
10,0.2,0.9,0.5,1.8046e+44,3.4925,1.4989,3.3071e+43
10,0.2,0.9,0.6,1.8304e+44,3.502,1.5007,3.3497e+43
10,0.2,0.9,0.7,1.8563e+44,3.5116,1.5026,3.3923e+43
10,0.2,1.0,0.1,1.5609e+44,3.2417,1.4421,2.9758e+43
10,0.2,1.0,0.2,1.5851e+44,3.2519,1.4444,3.0176e+43
10,0.2,1.0,0.3,1.6094e+44,3.2623,1.4466,3.0595e+43
10,0.2,1.0,0.4,1.6336e+44,3.2728,1.4488,3.1014e+43
10,0.2,1.0,0.5,1.6587e+44,3.2835,1.451,3.1432e+43
10,0.2,1.0,0.6,1.6837e+44,3.2944,1.4532,3.1851e+43
10,0.2,1.0,0.7,1.7088e+44,3.3053,1.4553,3.2269e+43
10,0.2,1.1,0.1,1.4422e+44,3.0591,1.3983,2.8278e+43
10,0.2,1.1,0.2,1.4658e+44,3.0705,1.4008,2.8689e+43
10,0.2,1.1,0.3,1.4895e+44,3.0822,1.4033,2.91e+43
10,0.2,1.1,0.4,1.5131e+44,3.0939,1.4058,2.9512e+43
10,0.2,1.1,0.5,1.5368e+44,3.1058,1.4083,2.9923e+43
10,0.2,1.1,0.6,1.5608e+44,3.1177,1.4107,3.0335e+43
10,0.2,1.1,0.7,1.5852e+44,3.1297,1.4131,3.0746e+43
10,0.2,1.2,0.1,1.3418e+44,2.9016,1.3587,2.6891e+43
10,0.2,1.2,0.2,1.3643e+44,2.9142,1.3615,2.7295e+43
10,0.2,1.2,0.3,1.3874e+44,2.9269,1.3643,2.7699e+43
10,0.2,1.2,0.4,1.4105e+44,2.9397,1.367,2.8104e+43
